report_date,account_id,campaign_id,impressions,clicks,costs,conversions
2020-04-01 00:00:00,1001396452,30413682,3756,2,159.591,0
2020-04-01 00:00:00,1001396452,30279306,1544,1,38.702,0
2020-04-01 00:00:00,1001396452,30279304,358,1,114.73,0
2020-04-01 00:00:00,1001396452,30417042,3303,2,138.833,0
2020-04-01 00:00:00,1001396452,30279306,447,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,404,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,5820,3,99.964,0
2020-04-01 00:00:00,1001289337,24471016,193,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,49851,39,3955.016,0
2020-04-01 00:00:00,1001289337,28439198,22,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,256,2,157.368,1
2020-04-01 00:00:00,1001396452,30413683,18725,38,1300.703,0
2020-04-01 00:00:00,1001289337,24471016,129,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,534,3,262.516,1
2020-04-01 00:00:00,1001396452,30299635,1230,2,110.824,0
2020-04-01 00:00:00,1001396452,30299635,2162,2,125.168,0
2020-04-01 00:00:00,1001396452,30299635,2948,1,101.003,0
2020-04-01 00:00:00,1001718067,30376558,101163,67,1152.645,0
2020-04-01 00:00:00,1001289337,30161119,264,3,569.976,1
2020-04-01 00:00:00,1001854178,30284389,2329,4,470.738,0
2020-04-01 00:00:00,1001289337,30161119,279,3,895.815,1
2020-04-01 00:00:00,1001289337,26114546,467,3,482.801,1
2020-04-01 00:00:00,1001289337,24471016,3670,1,173.402,0
2020-04-01 00:00:00,1001289337,28439198,224,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,2874,2,199.166,0
2020-04-01 00:00:00,1001388197,30356586,4,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,28955,31,2425.175,1
2020-04-01 00:00:00,1001289337,24471016,5371,1,102.065,0
2020-04-01 00:00:00,1001396452,30279304,668,7,385.57,0
2020-04-01 00:00:00,1001396452,30136449,957,2,166.888,0
2020-04-01 00:00:00,1001718067,30376558,640,0,0.0,0
